"","ahp","alcoa","amerb","arco","coke","comme","dow","dupont","espey","exxon","fisch","ford","ge","gm","gte","gulf","hp","ibm","inger","iroqu","jnj","kimbc","kinar","kodak","luken","meico","merck","mmm","mobil","morris","pandg","pills","schlum","sears","sherw","tex"
"1962-07-03",1.01515,1.02765,1.04183,1.02083,1.00637,1.04938,1.00847,1.01983,1.05426,0.99751,1.04065,1,1,1.01026,1.0122,1.05747,1.01935,1.00429,1.01357,1.01515,0.99683,1.0534,0.93333,0.99461,1.02857,1,1.03148,1.03377,1.01018,1.01495,1.00775,1.00526,1.01176,1.00578,0.99697,0.99752
"1962-07-05",1.01493,1.04036,0.98905,0.9949,1.00475,0.95294,1.0084,1.00833,1.04412,1.005,0.99219,1.00157,1.02187,0.99746,0.98795,1.03261,1.01266,0.99573,1.00446,0.98507,1.00318,1.00461,1,1.01491,1.02469,0.98,1.00898,1.00251,1.01259,1,1.00192,1,1.01938,1.00958,0.99088,1.00248
"1962-07-06",1,0.97629,0.97786,0.99744,0.98583,0.98765,0.99722,0.99449,0.97183,1,1,0.98116,0.9786,0.98219,0.9939,0.98947,0.98125,0.98571,0.99556,1.18182,0.95873,0.98165,1,0.97864,0.96988,1,0.98043,0.9599,0.99751,0.97218,0.98656,0.98429,0.97338,1,1.02761,0.99752
"1962-07-09",1.02451,1.00662,1.02642,1.00257,1.01917,1,0.99443,1.00693,1,1,0.96063,1.0272,1.00795,0.98705,0.98773,1.01064,1.00637,1.01522,1,1.02564,1.01325,0.98131,1,1.02729,0.99379,1.0051,1.01089,1.03655,1.01247,0.99663,1.00778,1.01596,1,1.0019,1.00299,1.02233
"1962-07-10",1.031,0.98465,1.00368,1.00513,1.00313,1.05,1.02801,1.00413,1.05797,1.01741,1.07377,1.04361,1.00394,1.00525,1.01863,1.02632,1.03165,1.02427,1.01563,1.15,1.00654,1.02381,1.14286,0.99867,0.91875,1.09645,1.01077,0.99496,0.99507,0.98649,1.01158,0.99738,1.01563,1.01515,1.0119,1.00971
"1962-07-11",1.00465,1.01559,0.98901,1.0102,1.00625,0.96429,0.99455,0.99863,0.9863,1.01222,1,1.00896,1.00589,1.00522,1.0122,1.02564,1.03067,1.04355,0.9978,0.95652,0.97727,1.01395,0.9375,1.00798,1.01361,0.98148,0.99645,1.01266,1.00495,1.00514,1.01908,0.98688,1.01154,0.99067,0.97647,1.0024
"1962-07-12",1.00694,0.99781,1,1.00758,1.00932,1,1.00548,0.99863,1.06944,1.00242,1.03053,1.01775,1.01367,1.02078,1.01205,1.02,1.03571,1.01235,1.02203,1,1.02658,0.98165,0.93333,0.98417,1.02685,1,1,1.0025,0.99015,0.97785,1.00749,1.01596,1.02281,1.00377,1.01807,1
"1962-07-13",1.0023,0.9978,1,0.98246,0.99538,1,0.99728,0.98764,1.01299,1,1.01481,1,0.99229,1,0.95833,1.01961,0.98276,0.99274,0.99569,0.97727,1.01294,0.96262,1.07143,1.01609,1.00327,1,0.99465,0.99751,0.99254,0.99303,1.01115,1.00524,0.95167,1,0.98817,1.01199
"1962-07-16",0.97936,0.98458,0.98148,1.01531,1.00155,0.98765,1.02732,1.00626,1,1.00241,0.9781,0.99709,0.99806,1.01272,1.00621,1.03846,1.04094,1.01661,0.99784,0.97674,0.98083,1.00485,1,0.99736,0.98697,1,0.99642,1.025,1.00251,0.98947,0.99265,0.99479,0.99023,1,0.99701,0.98341
"1962-07-17",1.01405,0.96644,0.93208,0.96985,0.99383,1.025,0.97872,0.9924,0.96154,0.98558,0.97761,0.9621,0.97082,0.9799,0.97531,0.93519,0.94944,0.96765,0.98048,0.88095,1,0.98551,1,0.99603,0.9769,0.99057,0.98561,0.96341,0.99,0.9805,0.9963,0.98429,1.00394,1.00188,0.96096,0.99518
"1962-07-18",1.00462,1.02083,1.01215,0.98964,0.99224,0.9878,0.97826,0.99721,0.96,1,0.98473,1.00303,0.98597,0.99231,0.98734,1,0.95266,0.98683,0.99336,1.02703,0.98046,0.98529,0.93333,0.98141,1.00676,0.99048,0.99088,0.98228,0.9798,0.99096,0.97383,0.96809,1.00589,0.98876,1,0.99758
"1962-07-19",1.0069,0.98866,1.016,1,1.00939,0.96296,0.97222,1.01955,0.97222,1.00488,1,1.00604,1.01626,0.99742,0.98718,0.98515,1.03727,1.00616,1.00668,1,0.99003,0.99005,0.96429,1.01353,1.02013,1,1.00921,0.99742,1.01031,1.01277,0.99808,0.98352,1,0.99811,1.00313,1.00485
"1962-07-20",1.01142,1.00688,1,1.01571,1.0062,1.03846,1.01714,1.00274,1.02857,1.00243,1.02326,1.00901,1.004,1.02073,1.00649,1.01005,1.02994,1.01224,0.99336,0.97368,1,1.0201,0.96296,1.00935,1.03947,1,1.02007,1.01292,1.0051,1.00541,1.03654,1.01676,0.98047,1.00569,0.99065,1
"1962-07-23",0.99774,0.98861,0.99213,0.98454,1.00462,0.98765,0.98315,0.99932,1,1,1.01515,1.00298,1.01394,0.99492,1,0.99005,1.00581,1.00269,1.00668,1,0.98993,1.00246,1,1.00529,0.98734,1.00962,1.01252,0.98469,0.98223,1,0.99258,1.01099,1.01195,1.00189,1.00629,0.99758
"1962-07-24",0.97738,0.99078,0.98413,0.99476,0.98773,0.975,0.97429,1.00205,0.99306,1.00242,0.99254,0.99407,0.98625,1.00255,0.9871,0.99497,0.97688,0.97386,0.98673,0.94595,0.95593,1.02211,1,0.99342,1,1,0.99293,0.98705,1.00775,1,0.99439,0.9837,1.00394,0.99435,1.00937,1.00484
"1962-07-25",1.01389,0.9907,0.99194,0.98421,1.01863,1,1.02053,1.00409,0.95105,1.00242,1,0.99104,0.99602,1.01272,1,0.9798,0.97041,1.0117,0.97758,1,1.00709,1,0.96154,1.00397,0.98718,1,0.98932,1.01312,1.01026,0.98925,0.99624,0.99724,0.97255,0.99242,0.99375,1.00241
